id;parent_comment;target_comment;tebakan_label;parent_membantu;catatan
s21;Gw juga suka heran dgn pertanian di barat. Gimana mereka bisa menjalankan produksi dgn alat 2 canggih, berarti cost nya kan tinggi, gimana bisa profit atau paling tidak break even saat jual? Dan gimana petani barat itu melawan pertanian besar yang dijalankan perusahaan. Kok bisa mereka sanggup beli peralatan traktor dll gitu;Klu di barat, kalau gak salah petaninya juga dapat subsidi gitu dari EU misal klu di europe. Karena itu, kadang harganya bisa bersaing secara internasional (kaya gandum dari EU itu bisa bersaing harganya dengan gandum produksi lokal afrika);0;y;
s22;(tidak tersedia);"Tidak adanya episode nyebrang ke sebelah maupun masuk partai tertentu menunjukan si ibu sadar memang metodenya efektif tp tidak efisien. Baca dr berbagai sumber ELI5 nya ""bisa produksi tapi gak bisa jualan""";0;n;
s23;Wkwkwkw ada ni satu di rumah, mio karbu, sering dibilang mio setan, dan tentu saja mio yg ini sahabat pertamina;Terakhir kali gw pegang Mio karbu standaran, kayaknya sekitar 1:27 pake Pertamax/Super lol.;0;n;
s24;Lo mau bayarin kebutuhan pokok?;Tadinya sih maksudnya dikarantina paksa ala2 di concentration camp gitu, biar pada bisa lebih konsentrasi dalam menjalani hidup dan membuat keputusan;0;n;
s25;Nah, ini harusnya jadi iklan layanan masyarakat tentang pentingnya pake helm;tapi kan cuma deket ke warung doang ngapain sik pake helm;1;n;
s26;(tidak tersedia);"Nih China mau mapping perairan indonesia nih... Biar kedepan kalau ada ""masalah"" sama klaim Indonesia yang ga setuju ma 9 dashline..";0;n;
s27;(tidak tersedia);sadly byr, jjr rsny ingin q gulingkan kapitalisme agar supaya ku ga prl byr krn milik brsm;0;n;
s28;bukannya enak ya ga jadi ketemu ortu pasangan? :D;sblumnya , udah janji mau ngobrol di desember. gegara gak sempet dateng pas liburan agustus. kan jadi ngerasa gak nepatin janji :(;0;n;
s29;tentara Allah kok bohong sama ibunya;Ibu: Mana uangnya hasil demo nak?;1;y;
s30;(tidak tersedia);bersihin aspal sirkuit mandalika sesusah apa sih?;0;n;
s31;Ribet amat sih nyari kerja anj, kudu s1 lah, kudu umur seginilah halah kntl, bro gw bingung harus ngapain nyari kerja susah.... semangatttt yuk bisa yukkk <link>;yah bukan rejekinya kak. semoga dapet kerjaan yang lebih baik dari yang buka loker ngasih umur maksimal 20 tahun. 🙏;0;n;
s32;"Apa dayaku yang naksir orang tapi ujungnya ""kita temenan aja"" Ato malah ketikung, padahal udh gw kode";Situ duitnya kurang aja kali;0;n;
s33;Meninggal kena covid tapi yg ngeliatinya pada ga pake masker. Kayanya mau ikutan menemani biar ga sendirian.;pengen bikin kota sendiri kali di sorga dan pilih dia jadi gubernur lagi di sana;1;y;
s34;"Perhitungan waktu sholat Jadi, aku penasaran nih, bagaimana sih caranya menentukan waktu sholat yang akurat? Saya tahu kalau penentuan waktunya berpatokan pada pergerakan matahari dan bulan, tapi kok ada bulan-bulan tertentu langitnya terlihat ""beda"" ya saat sudah masuk waktu sholat? Padahal kalau mengikuti matahari dan bulan seharusnya kondisi langitnya kurang lebih sama saat cuacanya cerah, kan? Di Pontianak, misalnya, belakangan ini saat adzan magrib langitnya terlihat merah/oranye gitu, tapi awal ramadhan kemarin langitnya terlihat berwarna biru gelap saat cuaca cerah. Apakah hal ini wajar atau ada hal lain yang mungkin mempengaruhi kondisi langitnya?";Wah mod threadnya gak berhubungan dengan Indonesia nih...;1;n;
s35;Apakah mendesain tato itu haram? Halo fellow komodos, jadi konteksnya aku (a moslem) freelance sebagai desainer dan ilustrator, dan yang aku jual itu hanya desain doang. Lalu beberapa hari lalu aku mendapatkan commision berupa desain tato, dan barusan di gap oleh Ibuku dan akhirnya beliau marah karena menurut beliau pekerjaanku haram dan tidak berkah. Jadi yang ingin aku tanyakan, apakah mendesain tato itu haram walaupun bukan aku yang memasangkan atau dipasangkan tato tersebut?;Islam is all about intention, makanya semua ritual dlm Islam harus mengucap niat.;0;n;
s36;Gak kerasa udah mau setaun semenjak keputusan gue buat >!beli animal crossing!<. Emang sih di awalnya gue mau serius, tapi lama kelamaan ketahuan kalo ybs gak bisa lebih dari casual. Pas awal ngerasa cocok, ada sense of purpose dengannya tapi ujung ujungnya gue cuma berasa dimanfaatin. Semuanya harus dari gue, mau duit, akomodasi travel sampe kalo ada acara yang sebenernya gue gak mau ikut pun tetep gue. Hubungan berasa monoton banget, setiap hari ngucapin dan ngelakuin hal sama. Sampe akhirnya gue putusin buat menyudahi aja daripada jadi beban di hati. Hari ini gue >!uninstall animal crossing!< !Konteks kalo spoiler dibuka;Pernah punya pengalaman yg sama sih. Awalnya niatnya mau kasual, seru2an aja. Tp lama2 ngerasa harus rutin tiap hari. Akhirnya terasa terbebani. Akhirnya setelah pertimbangan berbulan-bulan (iya lama, soalnya selalu terbentur pertimbangan perasaan anggota grup), akhirnya aku mutusin utk uninstall Love Nikki Dress Up Fantasy. Kadang masih kangen sih, tp leganya lebih besar;0;n;
s37;Cuman yah kalo buat muasin nafsu mending free sex ato masturbate aja. Biarin dosa, dibanding jalanin rumah tangga didasarkan nafsu, pasti gak bakal bahagia dan lebih berdosa lagi.;Zina itu dosa dan di jaman nabi luth tidacc hanya satu tapi dua kota porak poranda gegara penduduknya berzina. Mending piara budak segs, halal dan sesuai sarikat;1;n;
s38;seems fun indeed;Parah sih. Riding santai malem-malem, saling sapa sesama anak motor, ga ada bang jago, ga ada bocil-bocil ga jelas, makan enak, bisa betot gas 5km lebih.;0;n;
s39;Buat yg Cowo, Kalian Gampang Menilai Kegantengan Laki2 Lain Ga?;Kalo gk bisa lihat tingkat kegantengan seseorang, kita gak bisa membuli yang jelek;1;n;
s40;Kabar Duka, IDI Sebut 25 Dokter Meninggal Akibat Virus Corona Covid-19;Ini salah satu contoh paling nyata betapa ketidakpedulian dan ketidakseriusan pemerintah di awal pandemi memakan korban jiwa;0;n;
s41;Orang Jawa ketika bikin peta kekuasaan majapahit;The only inacuraccy dari peta ini adalah memasukkan wilayah Uni-Sunda-Galuh ke dalamnya ☝️😣 Putri Citraresmi tidak belapati demi hal semacam ini;1;y;
s42;(tidak tersedia);Dia pasti menjadi Seniman yang handal;0;n;
s43;pemberitahuan &#x200B;;0;n;
s44;Kaum priviledge mana mau frozen food. Karena konotasi di luar negeri, frozen food lebih popular untuk menengah ke bawah.;yah buat privilege disini;0;n;
s45;(tidak tersedia);Java supremacy bakal menggantikan aryan;1;n;
s46;(tidak tersedia);Naliko aku iseh bocah;0;n;
s47;Ikatan Dokter Anak Indonesia: 152 anak mengalami gagal ginjal misterius sejak Januari 2022 (25 meninggal di DKI Jakarta);Waktu itu sempat heboh postingan fenomena kawula muda males minum air putih dan korelasi kawula muda cenderung gagal ginjal, kupikir udah obvious, apa beda lagi?;0;n;
s48;(tidak tersedia);Chelsea klub tajir bisa buang2 uang, ini newcastle :);0;n;
s49;Jam tidur selama karantina makin sini makin maju dan bangunnya juga makin nyubuh. Sekarang jam 3 juga udah bangun lol;me too. and tbh, gw lebih prefer ini daripada begadang;0;n;
s50;Menjadi badut tidak ada batasan umur 🤡 Tapi goodluck buat lu bro, semoga bisa ketemu yg cocok either her or someone else 😊;dibuka lowongan badut, 7x24 jam;1;y;
